"filename","signature"
"Star Wars - Shadows of the Empire (USA).z64","B24E8620"
"Star Wars Episode I - Battle for Naboo (USA) (Beta).z64","03A5CF0F"
"Star Wars Episode I - Battle for Naboo (USA).z64","1558821A"
"Star Wars Episode I - Racer (USA) (Aftermarket) (Unl).z64","D9596155"
"Star Wars Episode I - Racer (USA).z64","C3F94820"
"StarCraft 64 (USA) (Beta).z64","1465FBB1"
"StarCraft 64 (USA).z64","663F3CE1"
"Starshot - Space Circus Fever (USA) (En,Fr,Es).z64","D2AC74FA"
"Stunt Racer 64 (USA).z64","6325FA4B"
"Super Bowling (USA).z64","C8179EF6"
"Super Mario 64 (USA) (LodgeNet).z64","41D7E549"
"Super Mario 64 (USA).z64","B393776D"
"Super Smash Bros. (USA) (LodgeNet).z64","06717FBE"
